type,title,platform,url
screenshot_thumbnail,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/2/cache/200x120/02_678.jpg
screenshot,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/3/03_659.jpg
screenshot_thumbnail,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/3/cache/200x120/03_659.jpg
screenshot,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/4/04_664.jpg
screenshot_thumbnail,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/4/cache/200x120/04_664.jpg
screenshot,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/5/05_650.jpg
screenshot_thumbnail,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/5/cache/200x120/05_650.jpg
screenshot,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/6/06_468.jpg
screenshot_thumbnail,"7 Days to Die Steam CD Key",Steam,https://static.kinguin.net/media/category/0/6/cache/200x120/06_468.jpg
cover,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/hi_image/9df78eab33525d08d6e5fb8d27136e95/888_1509_1.jpg
thumbnail,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/catalog/category/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/mmm_582_1.jpg
screenshot,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/752590-3_1549959092_1.jpeg
screenshot_thumbnail,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/cache/200x120/752590-3_1549959092_1.jpeg
screenshot,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/752590-4_1549959093_1.jpeg
screenshot_thumbnail,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/cache/200x120/752590-4_1549959093_1.jpeg
screenshot,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/752590-5_1549959095_1.jpeg
screenshot_thumbnail,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/cache/200x120/752590-5_1549959095_1.jpeg
screenshot,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/752590-6_1549959096_1.jpeg
